,stockCode,stockName,performance,summary
1,688076,诺泰生物,业绩大幅上升,净利润3015.35万元至3297.30万元
2,688314,康拓医疗,业绩预增,"净利润750万元至910万元,增长幅度为7.10%至30.00%"
3,605222,起帆电缆,业绩大幅上升,"净利润14213.23万元左右,增长幅度为132.35%左右"
4,002581,未名医药,预计扭亏,净利润2027.00万元至3040.00万元
5,300979,华利集团,业绩大幅上升,"净利润53000万元至61000万元,增长幅度为30.70%至50.43%"
6,600068,葛洲坝,业绩大幅上升,"净利润65598.84万元至70598.84万元,增长幅度为60%至75%"
7,600418,江淮汽车,预计扭亏,净利润18900万元左右
8,603579,荣泰健康,业绩大幅上升,"净利润6300万元至6950万元,增长幅度为113%至135%"
9,605339,南侨食品,业绩大幅上升,"净利润7508.50万元左右,增长幅度为74.60%左右"
10,688575,亚辉龙,预计扭亏,净利润3300万元至4000万元
11,300990,同飞股份,业绩大幅上升,"净利润2592.90万元至3046.44万元,增长幅度为122.29%至161.17%"
12,600098,广州发展,业绩大幅上升,"净利润16000万元至20000万元,增长幅度为38%至73%"
13,601028,玉龙股份,业绩大幅上升,"净利润9200万元至11300万元,增长幅度为336.68%至436.36%"
14,601628,中国人寿,业绩大幅上升,"净利润2649000万元至2990800万元,增长幅度为55%至75%"
15,688217,睿昂基因,业绩大幅上升,"净利润1253.42万元至1545.78万元,增长幅度为670.76%至850.54%"
16,600582,天地科技,业绩大幅上升,"净利润24500万元至25500万元,增长幅度为248%至262%"
17,600710,苏美达,业绩大幅上升,"净利润18500万元至21500万元,增长幅度为154.27%至195.50%"
18,603997,继峰股份,预计扭亏,净利润11000万元至13000万元
19,605488,福莱新材,业绩大幅上升,"净利润3300万元至4000万元,增长幅度为187.87%至248.93%"
20,688565,力源科技,预计扭亏,净利润253万元至408万元
21,000793,华闻集团,预计减亏,净利润-7000万元至-5500万元
22,300021,大禹节水,业绩大幅上升,"净利润1300万元至1600万元,增长幅度为1055.35%至1321.97%"
23,300259,新天科技,业绩大幅上升,"净利润6856.74万元至7732.06万元,增长幅度为135%至165%"
24,300366,创意信息,预计扭亏,"净利润2400万元至3000万元,增长幅度为161%至176%"
25,300888,稳健医疗,业绩大幅上升,"净利润46000万元至50000万元,增长幅度为44.29%至56.83%"
26,300958,建工修复,预计扭亏,净利润1400万元至1700万元
27,300988,津荣天宇,业绩大幅上升,"净利润1490万元至1690万元,增长幅度为42.61%至61.75%"
28,300989,蕾奥规划,业绩预增,"净利润1400万元至1600万元,增长幅度为1.34%至15.82%"
29,600105,永鼎股份,预计扭亏,净利润12000万元左右
30,600178,东安动力,预计扭亏,净利润6200万元至7400万元
31,600183,生益科技,业绩大幅上升,"净利润53926.92万元至54926.92万元,增长幅度为59%至62%"
32,600505,西昌电力,预计扭亏,净利润165万元左右
33,600602,云赛智联,业绩大幅上升,"净利润3596万元左右,增长幅度为56%左右"
34,603887,城地香江,业绩预增,"净利润7362.42万元至7730.54万元,增长幅度为0%至5%"
35,605296,神农集团,业绩预增,"净利润38888.43万元至47530.31万元,增长幅度为13.99%至39.32%"
36,688355,明志科技,业绩预增,"净利润1880.27万元至2496.63万元,增长幅度为1.75%至35.10%"
37,688685,迈信林,业绩大幅上升,"净利润350万元至450万元,增长幅度为161.17%至235.80%"
38,300002,神州泰岳,业绩大幅上升,"净利润6800万元至8800万元,增长幅度为369.55%至507.66%"
39,300339,润和软件,业绩大幅上升,"净利润2605.10万元至2917.71万元,增长幅度为150%至180%"
40,300516,久之洋,业绩大幅上升,"净利润1311.098万元至1359.065万元,增长幅度为720%至750%"
41,300535,达威股份,预计扭亏,净利润900万元至1000万元
42,605117,德业股份,业绩大幅上升,"净利润10000.00万元至10500.00万元,增长幅度为116.47%至127.29%"
43,000416,民生控股,业绩大幅下降,"净利润89.33万元左右,下降幅度为87.36%左右"
44,600110,诺德股份,预计扭亏,净利润6500万元左右
45,600375,汉马科技,预计减亏,净利润-1360万元至-1100万元
46,600548,深高速,预计扭亏,净利润54700万元左右
47,600794,保税科技,业绩大幅上升,"净利润4850万元左右,增长幅度为55.64%左右"
48,600984,建设机械,预计扭亏,净利润6500万元左右
49,603949,雪龙集团,业绩大幅上升,"净利润3578.46万元至4254.46万元,增长幅度为93%至129%"
50,000415,渤海租赁,业绩预亏,净利润-45000万元至-35000万元
51,002089,ST新海,业绩预亏,净利润-740万元至-500万元
52,002281,光迅科技,预计扭亏,净利润12000万元至15000万元
53,002508,老板电器,业绩大幅上升,"净利润34301.46万元至39201.67万元,增长幅度为40%至60%"
54,002524,光正眼科,业绩大幅上升,"净利润4000万元至6000万元,增长幅度为191.40%至337.10%"
55,002644,佛慈制药,业绩大幅上升,"净利润2350万元至2450万元,增长幅度为75%至85%"
56,002684,ST猛狮,预计增亏,净利润-27000万元至-22000万元
57,002699,美盛文化,预计扭亏,净利润506万元至741万元
58,002770,ST科迪,预计扭亏,净利润350万元至500万元
59,002813,路畅科技,预计扭亏,"净利润0万元至360万元,增长幅度为100%至141.73%"
60,300005,探路者,预计扭亏,净利润1000万元至1300万元
61,300227,光韵达,业绩大幅上升,"净利润1666万元至2051万元,增长幅度为30%至60%"
62,300650,太龙照明,预计扭亏,净利润3500万元至4000万元
63,300673,佩蒂股份,业绩大幅上升,"净利润2200万元至2600万元,增长幅度为86.91%至120.89%"
64,300893,松原股份,业绩大幅上升,"净利润2500万元至2600万元,增长幅度为81%至88.24%"
65,300987,川网传媒,业绩大幅上升,"扣非后净利润420万元至480万元,增长幅度为174.38%至213.58%"
66,600031,三一重工,业绩大幅上升,"净利润520000万元至580000万元,增长幅度为137%至164%"
67,600707,彩虹股份,预计扭亏,净利润105000万元至115000万元
68,600841,上柴股份,业绩大幅上升,"净利润5800万元至6500万元,增长幅度为210.40%至247.86%"
69,601827,三峰环境,业绩大幅上升,"净利润51273万元至56670万元,增长幅度为325%至370%"
70,603026,石大胜华,预计扭亏,"净利润22000.00万元至25000.00万元,增长幅度为1342.00%至1511.37%"
71,603035,常熟汽饰,业绩大幅上升,"净利润9500万元左右,增长幅度为8900%左右"
72,603517,绝味食品,业绩大幅上升,"净利润20000万元至23700万元,增长幅度为217.68%至276.45%"
73,603660,苏州科达,预计减亏,"净利润-4838.72万元至-3388.72万元,增长幅度为50%至65%"
74,603926,铁流股份,业绩大幅上升,"净利润4849.04万元至5289.86万元,增长幅度为120.0%至140.00%"
75,605196,华通线缆,业绩预降,"净利润1186.83万元至1365.34万元,下降幅度为48.17%至40.38%"
76,605198,德利股份,业绩大幅下降,"净利润806万元至1506万元,下降幅度为75%至55%"
77,605388,均瑶健康,业绩预增,"净利润6384.3万元至6501.7万元,增长幅度为21.17%至23.4%"
78,688097,博众精工,预计减亏,"净利润-1697.53万元至-1535.86万元,增长幅度为85.78%至87.14%"
79,688599,天合光能,业绩大幅上升,"净利润21100万元至25300万元,增长幅度为37.91%至65.36%"
80,688655,迅捷兴,业绩大幅上升,"净利润1100万元至1350万元,增长幅度为74.94%至114.69%"
81,000005,世纪星源,预计扭亏,"净利润500万元至1000万元,增长幅度为123.82%至147.65%"
82,000007,全新好,预计减亏,净利润-180万元至-120万元
83,000008,神州高铁,预计减亏,净利润-9000万元至-7000万元
84,000010,美丽生态,预计扭亏,净利润140万元至210万元
85,000012,南玻A,业绩大幅上升,"净利润53500万元至60800万元,增长幅度为381%至446%"
86,000016,深康佳A,预计扭亏,净利润5800万元至7400万元
87,000017,*ST中华A,预计减亏,"净利润-30万元至-20万元,增长幅度为49.32%至66.21%"
88,000019,深粮控股,业绩大幅上升,"净利润12246.02万元至14967.36万元,增长幅度为47.57%至80.36%"
89,000020,深华发A,预计扭亏,"净利润400万元至600万元,增长幅度为1098.25%至1597.38%"
90,000023,深天地A,预计扭亏,"净利润350万元至500万元,增长幅度为130%至143%"
91,000027,深圳能源,业绩大幅上升,"净利润38000万元至56000万元,增长幅度为81.14%至166.94%"
92,000030,富奥股份,业绩大幅上升,"净利润21000万元至23000万元,增长幅度为77%至93%"
93,000039,中集集团,预计扭亏,净利润130000万元至165000万元
94,000040,东旭蓝天,预计增亏,"净利润-8800万元至-7000万元,下降幅度为64.2%至30.62%"
